0.133999, -0.270342, 0.819953, 2.13912, -1.05811, 1.18972
0.509055, -0.0991878, 0.819817, 1.9242, -1.6755, 1.20269
0.55257, -0.252078, 0.700466, 1.40654, -1.46106, 2.07235
0.564539, -0.521472, 0.585473, 1.31678, -1.05466, 2.38094
0.406472, -0.673768, 0.533341, 1.05541, -0.594645, 2.01295
0.253883, -0.749901, 0.518021, 1.07106, -0.559874, 1.50204
-0.00761506, -0.5811, 0.574101, 1.65627, -0.438762, 1.25555
-0.149647, -0.488058, 0.73844, 2.54978, -0.642044, 0.95179
-0.260868, -0.450182, 0.10284, 2.54979, -0.642001, 0.951751
0.103333, -0.34747, 0.0769065, 2.30344, -1.14069, 1.01725
0.506136, -0.131341, 0.0229982, 1.83557, -1.62868, 0.804605
0.673285, -0.192671, -0.121764, 1.37765, -1.57512, 2.11503
0.672255, -0.367776, -0.142939, 1.59645, -1.09681, 2.37859
0.457303, -0.612237, -0.12943, 1.30606, -0.585256, 1.92763
0.228038, -0.701043, -0.129461, 0.995623, -0.852139, 1.45164
